"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"受(處)理刑事案件嫌疑犯人數─按機關別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0620103&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,2,4,3,9,3,14,4,22,1,25,4,34,4,40,31,&codspc0=0,2,3,2,7,1,10,1,13,18,&rdm=rXr5oeix&ym=10309&ymt=10309","rawData","受(處)理刑事案件嫌疑犯人數─按機關別分","刑事案件別、機關別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0620103&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,2,4,3,9,3,14,4,22,1,25,4,34,4,40,31,&codspc0=0,2,3,2,7,1,10,1,13,18,&rdm=rXr5oeix&ym=10309&ymt=10309(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"原住民人口─按區域別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110501&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldlst=111&codspc0=0,2,3,2,7,1,10,1,13,17,&rdm=eqrjAZj4&ym=10309&ymt=10309","rawData","原住民人口─按區域別分","原住民、山地原住民、平地原住民、統計期、區域別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537 ","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110501&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldlst=111&codspc0=0,2,3,2,7,1,10,1,13,17,&rdm=eqrjAZj4&ym=10309&ymt=10309(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"原住民人口數單一年齡組─按區域別、性別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110503&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,102,&codspc0=0,2,3,2,7,1,10,1,13,17,&codlst1=111&rdm=p4aAid9l&ym=10309&ymt=10309","rawData","原住民人口數單一年齡組─按區域別、性別分","年齡別、性別、統計期、區域別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537 ","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110503&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,102,&codspc0=0,2,3,2,7,1,10,1,13,17,&codlst1=111&rdm=p4aAid9l&ym=10309&ymt=10309(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"原住民性別概況─按區域別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110502&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldlst=1111&codspc0=0,2,3,2,7,1,10,1,13,17,&rdm=i6cioe0L&ym=10309&ymt=10309","rawData","原住民性別概況─按區域別分","人口數、男、女、人口性比例、統計期、區域別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0110502&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldlst=1111&codspc0=0,2,3,2,7,1,10,1,13,17,&rdm=i6cioe0L&ym=10309&ymt=10309(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"消防人力─按年齡別、區域別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710101&cycle=4&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,3,4,10,&codspc0=0,2,3,2,7,1,10,1,13,24,&rdm=eiKh9ekx&ym=10200&ymt=10200","rawData","消防人力─按年齡別、區域別分","性別、年齡別、統計期、機關別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-553","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710101&cycle=4&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,3,4,10,&codspc0=0,2,3,2,7,1,10,1,13,24,&rdm=eiKh9ekx&ym=10200&ymt=10200(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"消防及救護車輛─按區域別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710201&cycle=43&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,30,&codspc0=0,2,3,2,7,1,10,1,13,22,&rdm=Vjtyeaej&ym=10306&ymt=10306","rawData","消防及救護車輛─按區域別分","消防車、救災車、消防勤務車、救護車輛、救生艇、統計期、機關別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537 ","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710201&cycle=43&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,30,&codspc0=0,2,3,2,7,1,10,1,13,22,&rdm=Vjtyeaej&ym=10306&ymt=10306(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"消防水源─按區域別分","csv","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710301&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,6,&codspc0=0,2,3,2,7,1,10,1,13,21,&rdm=kdccdfrh&ym=10309&ymt=10309","rawData","消防水源─按區域別分","地上式消防栓、地下式消防栓、蓄水持池、游泳池、深水井、統計期、機關別","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","游小姐","(02)2356-5537 ","http://statis.moi.gov.tw/micst/stmain.jsp?sys=220&kind=21&type=1&funid=c0710301&cycle=41&outmode=2&utf=1&compmode=0&outkind=5&fldspc=0,6,&codspc0=0,2,3,2,7,1,10,1,13,21,&rdm=kdccdfrh&ym=10309&ymt=10309(ym=需求資料起始期年月，ymt=需求資料迄期年月) 資料起始時間:8900(89代表民國89年,00代表月份,參數00代表查詢整年份資料,01則代表1月份,依此類推)。 資料迄期年月:10307(103代表民國年,07代表月份,一般資料收錄迄期年月為查詢日往前推兩個月)。"
"年度決標公告","xml","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=885AFA8F-78E9-4F8E-B2B4-2F6701D735CD","rawData","年度決標公告","DATA_ID：資料ID、 GROUP：類別、 CAPTION：標題、 PUB_DATE_E：西元年日期、 PUB_DATE_C：民國年日期、 FILEPATH：檔案路徑","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","孫小姐","02-23566244",""
"請託關說登錄查察","xml","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=BB5A2256-9087-4D81-A068-7DC458F0C4C8","rawData","請託關說登錄查察","DATA_ID：資料ID、 GROUP：類別、 CAPTION：標題、 PUB_DATE_E：西元年日期、 PUB_DATE_C：民國年日期、 FILEPATH：檔案路徑","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","謝先生","23565387",""
"違反商品檢驗規定商品及廠商資料明細","csv","http://safety.bsmi.gov.tw/wSite/public/Data/f1412236527253.csv","rawData","提供違反商品檢驗規定商品及廠商資料明細","編號,日期,文號,商品名稱,商品規格型號,陳列銷售或裝設地點,違反規定事由,廠商名稱,廠商地址,商品類別,罰鍰金額(萬)","經濟部標準檢驗局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","蕭先生","02-33432294",""
"防火管理人訓練專業機構通訊錄","csv","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DS=419457F0-A50B-4927-904C-58408FF9824E","rawData","提供防火管理人訓練專業機構通訊錄","名稱、郵遞區號、地址、電話、傳真、電子信箱、網址","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","蘇先生","8195-9917",""
"內政部出版品資訊","xml","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=5E716BF9-A90C-4350-BEB7-41E9EB47C9C9","rawData","內政部出版品資訊","tableOfContents ：目次、 contentIntro：內容簡介、 creator：編/著/譯者、 cover	：封面圖片網址、 title：書名、 rightInfo：授權資訊-聯絡資訊、 gpn：統一編號(GPN)、 publishDate：出版年月、 cake：施政分類、 pages	：規格-頁數、 priceType：價格類型、 gpnType：出版品分類、 attachment：附件、 orgName：出版機關、 orgID：OID、 url：出版品網址、 sale：書籍分類、 size：規格-尺寸、 rightOwner：著作財產權管理機關或擁有者 、category：主題分類 、price：價格 、seriesGPN：套/叢書GPN 、language：語文別 、engTitle：英文題名 ","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","王先生","02-23565042",""
"高級中等學校科別資料","csv","https://stats.moe.gov.tw/files/detail/102/102_base2.csv","rawData","高級中等學校科別資料","學校代碼、學校名稱、等級別、等級名稱、日夜別、日夜別名稱、群別代碼、群別名稱、科系代碼、科系名稱、班級數、一年級、二年級、三年級、四年級、學生數、男學生、女學生、一年級男、一年級女、二年級男、二年級女、三年級男、三年級女、四年級男、四年級女、延修生男、延修生女、上學年畢業生、畢業生男、畢業生女","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","林小姐","02-77366374",""
"大專校院科系別陸生數","csv","https://stats.moe.gov.tw/files/detail/102/102_chinas.csv","rawData","大專校院科系別陸生數","學校代碼、學校名稱、科系代碼、科系名稱、學生來源所在地、等級別、總計、男生計、女生計、一年級男生、一年級女生、二年級男生、二年級女生、三年級男生、三年級女生、四年級男生、四年級女生、五年級男生、五年級女生、六年級男生、六年級女生、七年級男生、七年級女生、延修生男生、延修生女生、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","吳先生","02-77366370",""
"大專校院各校科系別畢業生數","csv","https://stats.moe.gov.tw/files/detail/102/102_graduates.csv","rawData","大專校院各校科系別畢業生數","學校代碼、學校名稱、科系代碼、科系名稱、日夜別、等級別、總計、男生、女生、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","金先生","02-77366379",""
"大專校院科系別畢業生數","csv","https://stats.moe.gov.tw/files/detail/102/102_graduatesb.csv","rawData","大專校院科系別畢業生數","科系代碼、科系名稱、日夜別、等級別、總計、男生、女生","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","金先生","02-77366379",""
"大專校院各校科系別概況","csv","https://stats.moe.gov.tw/files/detail/102/102_sdata.csv","rawData","大專校院各校科系別概況","學校代碼、學校名稱、科系代碼、科系名稱、日夜別、等級別、學生數、教師數、上學年度畢業生數、班級數、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","吳先生","02-77366370",""
"大專院校各校科系別學生數","csv","https://stats.moe.gov.tw/files/detail/102/102_students.csv","rawData","大專院校各校科系別學生數","學校代碼、學校名稱、日夜別、等級別、總計、男生計、女生計、一年級男生、一年級女生、二年級男生、二年級女生、三年級男生、三年級女生、四年級男生、四年級女生、五年級男生、五年級女生、六年級男生、六年級女生、七年級男生、七年級女生、延修生男生、延修生女生、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","田小姐","02-77365747",""
"大專院校各科系所學生數","csv","https://stats.moe.gov.tw/files/detail/102/102_studentsb.csv","rawData","大專院校各科系所學生數","學校代碼、學校名稱、日夜別、等級別、總計、男生計、女生計、一年級男生、一年級女生、二年級男生、二年級女生、三年級男生、三年級女生、四年級男生、四年級女生、五年級男生、五年級女生、六年級男生、六年級女生、七年級男生、七年級女生、延修生男生、延修生女生、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","田小姐","02-77365747",""
"大專校院各校科系別專任教師數","csv","https://stats.moe.gov.tw/files/detail/102/102_teachers.csv","rawData","大專校院各校科系別專任教師數","學校代碼、學校名稱、科系代碼、科系名稱、日夜別、總計、男教師計、女教師計、教授男、教授女、副教授男、副教授女、助理教授男、助理教授女、講師男、講師女、其他男、其他女、助教男、助教女、縣市名稱、體系別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","吳先生","02-77366370",""
"高級中等學校應屆畢業生升學情形(按設立別分）","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-1.csv","rawData","國立、縣市立及私立高中職學校應屆畢業生升學就業概況","學制別、設立別、升學概況","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生就業概況（按設立別分)","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-2.csv","rawData","國立、縣市立及私立高中職學校應屆畢業生就業概況","學制別、設立別、就業行業別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生未升學未就業情形(按設立別分","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-3.csv","rawData","國立、縣市立及私立高中職學校應屆畢業生未就業情形概況","學制別、設立別、未升學未就業之原因","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生升學情形(按縣市別分）","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-5.csv","rawData","各縣市別之高中職學校應屆畢業生升學就業概況","學校所在地縣市別、升學概況","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生就業概況（按縣市別分)","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-6.csv","rawData","各縣市別之高中職學校應屆畢業生就業概況","學校所在地縣市別、就業行業別","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生未升學未就業情形(按縣市別分）","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-7.csv","rawData","國立、縣市立及私立高中職學校應屆畢業生未就業情形概況","學校所在各縣市別、未升學未就業之原因","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生升學情形(按群別分）","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-9.csv","rawData","高中職學校各群別應屆畢業生升學就業概況","各學制別，群別，升學概況","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生就業概況（按群別分)","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-10.csv","rawData","高中職學校各群別應屆畢業生就業概況","學制別，群別，就業行業","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"高級中等學校應屆畢業生未升學未就業情形(按群別分）","csv","https://stats.moe.gov.tw/files/investigate/high_graduate/101/101_1-2-11.csv","rawData","高中職學校各群別應屆畢業生未就業情形概況","各學制別，群別，未升學未就業原因","教育部","每學年度","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","許先生","02-77365754",""
"歷年各業受僱員工每人每月薪資","xml","http://www.dgbas.gov.tw/public/data/open/Cen/Mp0501A01.xml","rawData","各業受僱員工每人每月薪資之歷年各月資料","每人每月薪資：採給付原則，指月內實際支付月底在職受僱員工之薪資總額，包含經常性薪資、加班費及其他非經常性薪資。","行政院主計總處","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","劉先生","02-23803637",""
"食品認證實驗室名單資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=59&logType=1","rawData","提供本署食品認證實驗室之相關資料給民眾參考。","認證編號、實驗室名稱、實驗室地址、實驗室電話、實驗室網站、通過日期、認證項目、公告資訊名稱、公告資訊連結、認證證書連結","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-2787-7126",""
"藥物非臨床試驗優良操作規範認證通過單位資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=56&logType=1","rawData","提供本署藥物非臨床試驗優良操作規範認證通過單位之相關資料給民眾參考。","項次、發函文號、編號、通過單位、合格範圍或試驗項目、有效期限","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","藍先生","02-2787-7025",""
"藥物化粧品認證實驗室名單資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=58&logType=1","rawData","提供本署藥物化粧品認證實驗室之相關資料給民眾參考。","認證編號、實驗室名稱、實驗室地址、實驗室電話、實驗室網站、通過日期、檢驗項目、公告資訊名稱、公告資訊連結、認證證書連結","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳小姐","02-2787-7125",""
"認可濫用藥物尿液檢驗機構名單資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=57&logType=1","rawData","提供本署認可濫用藥物尿液檢驗機構之相關資料給民眾參考。","機構名稱、聯絡人、聯絡人電話、機構地址、認可項目、認可字號","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","張小姐","02-2787-7125",""
"食品法規條文資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=60&logType=1","rawData","食品藥物管理署依職掌權責公告訂定食品相關法律規範，包含法律、標準、辦法、指引、要點、函釋…等。","類別、法規性質、法規名稱、條文內容、發佈日期、附件下載","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","侯先生","02-2787-7394","「條文內容」資料內容包含html碼。"
"食品添加物使用範圍及限量暨規格標準資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=61&logType=1","rawData","准用之食品添加物功能類別、品項、使用範圍、限量、規格及其他使用規範。","類別、中文品名、英文品名、使用食品範圍及限量、使用限制、規格、類別說明","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李先生","02-2787-7378","「類別說明」資料內容包含html碼"
"消費紅綠燈-國際食品資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=62&logType=1","rawData","針對國際食品資訊，由專人每日巡查國外衛生機關網站公布的資訊，主要選定本國進口量較大的國家，例如美、英、日、歐盟…等國家，翻譯並彙整後公開的資料。","燈號、標題名稱、內容、附檔、更新日期","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","葉先生","02-2787-7327","「內容」資料內容包含html碼。"
"病人用特殊營養食品許可資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=63&logType=1","rawData","藉由本資料集可查詢經衛生福利部查驗登記核准之特定疾病配方食品之食品相關資訊。","核備函字號、中文名稱、英文名稱、發證日期、有效日期、申請商名稱、申請商電話、申請商地址、劑型、包裝規格、成分、產地、簽審文件編號","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","王小姐","02-2787-7337",""
"健康風險評估資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=64&logType=1","rawData","食品安全攸關人民的健康，亦是衛生福利部追求的目標，食品藥物管理署自95年起建置「健康風險評估資料」，除作為衛生福利部進行健康風險評估與風險溝通之科學證據及相關政策擬定之參據，並對外公開供消費者查詢。資料內容包含農藥、動物用藥、食品添加物、重金屬、微生物、過敏原、基因改造食品、食品容器具等，並對相關背景、用途、危害程度等進行說明。","主類別、次類別、名稱、附檔說明","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","侯先生","02-2787-7394",""
"消費紅綠燈-國際藥品","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=65&logType=1","rawData","針對國際藥品回收資訊，由人工每日巡查國外衛生機關網站公布的資訊，主要選定本國進口量較大的國家，例如美、英、日、歐盟…等國家，翻譯並彙整後公開的資料。","燈號、標題名稱、內容、附檔、更新日期","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","王先生","02-2787-7412","「內容」資料內容包含html碼。"
"藥品法規條文資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=66&logType=1","rawData","本資料集包含藥事法及其相關法規、藥害救濟法及其相關法規資料。","類別、法規性質、法規名稱、條文內容、發佈日期、附件檔案","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-2787-7466",""
"人體器官保存庫許可資料集","xml","http://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=67&logType=1","rawData","以移植為目的，從事人體器官(含人體組織、細胞)及其衍生物之處理或保存，應依人體器官保存庫管理辦法申請設置人體器官保存庫(簡稱保存庫)。機構依規定進行申請後，經本署文件審查及實地履勘核可者，得人體器官保存庫設置許可，名單將依流程公告於網路。","機構名稱、保存庫類別、保存庫設置地點","衛生福利部食品藥物管理署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","周先生","02-2787-7155",""
"創業空間資料","csv","http://sme.moeasmea.gov.tw/SME/openData/gov_source_map_opendata.csv","rawData","提供民眾及各相關機關，創業空間的資訊","「創業空間名稱」、「建物現況」、「建物面積」、「空間座標」、「聯絡方式」等。","經濟部中小企業處","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","張小姐","02-23662381",""
"創業空間資料","json","http://sme.moeasmea.gov.tw/SME/openData/gov_source_map_opendata.json","rawData","提供民眾及各相關機關，創業空間的資訊","「創業空間名稱」、「建物現況」、「建物面積」、「空間座標」、「聯絡方式」等。","經濟部中小企業處","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","張小姐","02-23662381",""
"國有非公用財產標售不動產資訊","csv","http://www.fnp.gov.tw/data.php?type=10&format=csv&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標售公告資訊","年度,批號,種類,公告日期,開標日期,標號,不動產標示,面積,使用分區或使用編定,標售底價,保證金金額,是否停標,位置圖網址","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產標售不動產資訊","xml","http://www.fnp.gov.tw/data.php?type=10&format=xml&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標售公告資訊","年度,批號,種類,公告日期,開標日期,標號,不動產標示,面積,使用分區或使用編定,標售底價,保證金金額,是否停標,位置圖網址","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產標售不動產資訊","json","http://www.fnp.gov.tw/data.php?type=10&format=json&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標售公告資訊","年度,批號,種類,公告日期,開標日期,標號,不動產標示,面積,使用分區或使用編定,標售底價,保證金金額,是否停標,位置圖網址","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產標租不動產資訊","csv","http://www.fnp.gov.tw/data.php?type=17&format=csv&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標租公告資訊","年度,批號,公告日期,開標日期,標號,不動產標示,面積,出租面積,使用分區或使用編定,位置圖及照片網址,租約類別,競標底價,租期,使用限制,投標保證金,是否停標","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產標租不動產資訊","xml","http://www.fnp.gov.tw/data.php?type=17&format=xml&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標租公告資訊","年度,批號,公告日期,開標日期,標號,不動產標示,面積,出租面積,使用分區或使用編定,位置圖及照片網址,租約類別,競標底價,租期,使用限制,投標保證金,是否停標","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產標租不動產資訊","json","http://www.fnp.gov.tw/data.php?type=17&format=json&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產標租公告資訊","年度,批號,公告日期,開標日期,標號,不動產標示,面積,出租面積,使用分區或使用編定,位置圖及照片網址,租約類別,競標底價,租期,使用限制,投標保證金,是否停標","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
"國有非公用財產招標設定地上權資訊","csv","http://www.fnp.gov.tw/data.php?type=14&format=csv&lang=zh-tw","rawData","國產署近期辦理國有非公用不動產招標設定地上權公告資訊","年度,批號,公告日期,開標日期,標號,土地標示,面積,使用分區或使用編定,權利金底價,保證金金額,是否停標,位置圖網址","財政部國有財產署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉小姐","02-27718121#2413",""
